text,sentiment,score
BECAUSE I MEAN IF HES ABLE TO DO ALL OF THIS SORT OF STUFF LIKE HOW YOURE SUPPOSED TO REALLY PUT UP A FORCE THAT CAN PUSH HIM TO THE NEXT LEVEL OR OR DESTROY HIM AT THE SAME TIME,Neutral,0.0
AND IT DOES KIND OF A LEA HELPS ALLEVIATE WHAT THAT WHOLE WAS IS ABOUT FIGHTING THE ULTIMATE ENEMY WITHIN THIS FIRST MOVIE AND THAT THE THREAT IS STILL THERE POTENTIALLY SPEAKING,Positive,1.4
BUT I THINK THERE WAS ALSO SOME SORT OF LIKE UM TONE WITHIN THE ACTUAL UM POWERS OF THE GREEN LANTERN AND HIMSELF AND THAT YOU CAN BASICALLY THINK UP OF ANYTHING AND YOU CAN PROJECT THAT INTO THE REAL LIFE,Positive,0.8
AND I THINK HAVING THIS SORT OF SUPERPOWER ALMOST THIS POWER TO JUST IMAGINE ANYTHING KIND OF JUST UM HELPED ME GET PASSED THAT YOU KNOW THESE ARE ALL CGI CHARACTERS AND SET,Positive,1.0
THIS IS A PLAYGROUND AND THEIR IMAGINARY PLAYGROUND AND ANYTHING CAN HAPPEN ANYTHING THAT WHAT ALSO MADE THE FILM EXCITING,Positive,2.2
BECAUSE YOU DONT ENTIRELY KNOW WHATS COMING NEXT,Positive,0.2
SO ITS KIND OF INTERESTING TO SEE UM WHERE THEYRE GONNA BE GOING WITH THAT,Positive,1.6
IM LOOKING FORWARD TO IT IVE GOT TO SAY,Positive,2.0
BEFORE I WENT IN TO SEE THE GREEN LANTERN IVE BEEN HEARING ALL THESE LIKE CRITICS BASICALLY JUST TRASHING THIS MOVIE LEFT AND RIGHT,Negative,-0.5
I ENJOYED IT FOR WHAT IT WAS YOU KNOW,Positive,1.4
BUT I AT THE SAME TIME I DO WANNA JUST SAY THAT I ENJOYED THIS MOVIE,Positive,2.2
THIS IS A MOVIE THAT YOURE GONNA GO OUT AND SEE,Positive,2.0
ITS A HUGE SORT OF SPECTACLE MOVIE THAT IS GREAT FOR THIS SUMMER TIME YOU KNOW,Positive,2.2
BECAUSE I I WOULD ACTUALLY SAY THIS PROBABLY IS ONE OF THE FIRST MOVIES THIS YEAR THAT IVE SEEN THIS YEAR THAT YOU WANNA SEE IN 3D ESPECIALLY FOR JUST THE OPENING PORTION,Positive,2.4
AND YOU WANNA SEE IT IN 3D,Positive,2.0
AND THE REST OF IT DOES LOOK GOOD AS WELL,Positive,1.4
IT LOOKS REALLY GOOD,Positive,1.8
ITS NOT LIKE A DARK MOVIE OR ANYTHING,Positive,0.2
AND I JUST HAD FUN WATCHING THIS MOVIE,Positive,2.2
SO ITS PERFECT FOR KIDS AS WELL AS JUST LIKE TEENAGERS AS WELL WHO JUST WANNA SEE A LOT OF EXPLOSIONS AND SOME CRAZY STUFF,Positive,2.2
ITS VERY MUCH A LIGHT HEARTED,Positive,1.2
BECAUSE IT LOOKS LIKE A CARTOON,Negative,-1.5
AND YOU KNOW GOING INTO IT OR THESE WATCHING THE TRAILERS BEFORE HEAD I WAS REALLY KIND OF HESITANT ABOUT SEEING THE GREEN LANTERN IN THE FIRST PLACE,Negative,-1.0
BECAUSE I THINK WHY NOT JUST MAKE THIS YOU KNOW MOVIE THIS LIVE ACTION MOVIE AND TALK CARTOON,Negative,-0.6
IM NOT REALLY A HUGE FAN OF HAVING LIKE ALL THESE 3D CHARACTERS,Negative,-1.6
AND IT SEEMED LIKE THEY WERE GONNA GO THAT ROUTE,Neutral,0.0
THATS REALLY THE ROUTE THAT YOURE GONNA GO,Positive,0.333333333333
ITS NOT LIKE THE GREEN LANTERN IS THE NEXT BATMAN BEGINS OR OR THE DARK NIGHTER,Negative,-0.4
YEAP ABSOLUTELY NOT TO BE MISSED,Positive,2.4
ITS EXTREMLY WELL MADE,Positive,2.8
ITS EXTREMLY DARE I SAY FUN TO WATCH IN A REALLY MESSED UP KIND OF WAY,Positive,2.0
ITS EXTREMLY DARE I SAY FUN TO WATCH IN A REALLY MESSED UP KIND OF WAY AND EVEN NOW ITS A HORROR FILM,Positive,1.6
ITS DEFINATELY GOT SOME FUN KEVIN SMITH MOMENTS IN IT FOR YOU TO LAUGH WITH UM,Positive,1.8
PROBABLY ONE OF THE BALLSIEST PROBABLY ONE OF THE BALLSIEST FIMS OD SUNDANCE 2011,Positive,2.0
ITS BOLD,Positive,0.8
UM AS REALLY THE BEST WAY TO DESCRIBE THIS FILM IS ITS BIG,Positive,1.4
IT MAKES BIG POWERFULS STATEMENTS,Positive,2.0
ITS STRONG,Positive,0.4
EVERYTHING FROM THE WAY ITS BEING RELEASED TO THE PERFORMANCES AND TO THE STORY ITSELF IS ABSOLUTELY OVRT THE TOP IMPRESSIVE,Positive,2.2
IT DOESNT HOLD BACK,Positive,0.5
ITS A HUGE BREAK THROUGH FOR KEVIN SMITH,Positive,2.4
AND REALLY WELL DONE,Positive,2.6
JOHN GOODMAN ABSOLUTELY AMAZING,Positive,2.6
ITS COMPLETELY DIFFERENT FROM ANYTHING WEVE EVER SEEN HIM DO BEFORE,Positive,0.4
ITS SO WELL DONE,Positive,2.6
MELISSA LEO WILL HAVE YOU CREEPED OUT TO YOUR INNER CORE WITH HER TINY LITTLE SMILE,Positive,0.8
ITS A HORROR FILM IA A TRUE SENSE,Positive,0.25
FOR ALL OF THOSE PEOPLE WHO ARE HATING ON IT I DONT KNOW WHAT THEY ARE COMPLAINING ABOUT IT,Positive,1.8
UM IT IS IT IS DEFINATELY ONE OF THOSE FILMS THATS NOT GONNA BE EASY FOR YOU TO FIND,Positive,0.2
AND IT IS ABSOLUTELY HORRIFYING,Negative,-2.0
WHENEVER IT COMES TO YOUR TOWN DO NOT MISS IT,Positive,2.8
ITS BEING RELEASED IN A VERY INTERESTING WAY,Positive,1.2
AND I THINK I WHY I WOULD BE SCARED IS BECAUSE I WOULD FEEL SCARED AND KIND OF SAD IF I LOST MY OWN MOTHER,Negative,-1.2
I AM EIGHT YEARS OLD AND I THOUGHT IT WAS REALLY S KIND OF SCARY,Positive,0.6
BUT IT ALL TURNS OUT GREAT IN THE END,Positive,2.4
I JUST GOT FINISHED WATCHING AN EXCELLENT MOVIE CALLED MARS NEEDS MOMS,Positive,3.0
I LIKED GRIBBLE BECAUSE HE HELPED MILO GET MILOS MOTHER AWAY FROM THE ALIANS,Positive,1.8
AND MY FAVORITE CHARACTERS IN THE MOVIE WOULD HAVE TO BE MILO MILOS MOTHER AND GRIBBLE,Positive,2.0
AND MY FAVORITE PART IN THE MOVIE WAS WHEN MILO HAS TO SAVE GRIBBLE,Positive,2.2
WHICH I THOUGHT WAS AWESOME,Positive,2.8
BECAUSE IT IS A GOOD MOVIE,Positive,2.2
AND I WOULD RECOMMEND THIS MOVIE FOR AGES 3 AND UP,Positive,2.0
LIKE FOR EXAMPLE MY BROTHER IS FIVE YEARS OLD AND HE DIDNT THINK THIS MOVIE WAS SCARY AT ALL,Negative,-0.4
AND IT DEPENDS WHAT AGE YOU ARE AND HOW YOU TO HOW YOU FEEL LIKE SEE THE MOVIE,Positive,0.8
BEACUSE I WANTED TO SEE HOW THEY COULD FRAME THAT,Positive,0.25
UM THAT WAS PROBABLY PART OF THE TRAILER THAT GOT ME TO GO AND SEE THE MOVIE,Positive,0.4
ITS A GREAT ONE,Positive,2.2
SO UM IF YOU HAVENT SEEN WINNIE THE POOH AND YOU LIKE FAMILY FILMS GO SEE IT,Positive,1.8
I DEFINATELY RECOMMEND IT,Positive,2.2
AND SO I WAS KIND OF CURIOUS TO SEE MAYBE IF THAT WAS WHAT DISNEY WAS GOING FOR AND IT DEFINATELY WAS WHAT THAY WERE GOING FOR,Positive,1.6
UM ITS ITS GREAT IF YOU REMEMBER THAT WAS OLD FILMS,Positive,2.0
BUT I BET IF YOU PUT THEM NEXT TO THE NEW FILM THAT THE STYLE WOULD BE SIMILAR ENOUGH THAT YOU WOULDNT BE ABLE TO REALLY TELL WHAT THE DIFFERENCE IS,Positive,0.6
THE STORY IS PRETTY SIMPLE,Neutral,0.0
WOULD BE GREAT FOR KIDS TOO,Positive,2.0
UM FUNNY JOKES THAT THE KIDS WOULD GET,Positive,0.8
WEVE GOT GREAT JOKES,Positive,1.6
BECAUSE HE SAYS ISSUE AND THEY THINK HE IS SAYING AT YOU,Negative,-0.6
UM I LOVE THE SCENE WHERE EEYORE AND POOH THINK THAT OWL IS GETTING SICK,Positive,2.0
AND BUT XXX WERE TOO HOLLYWOOD FOR ME,Negative,-1.2
THE NUMBERS THEY AND THEY KIND OF STUCK TO THE BOOK OF IT SO I LIKE THAT,Positive,1.4
BECAUSE THINK ABOUT IT IF YOU IF YOUR TOP PRIORITY IS SURVIVAL THAN WHY WOULD YOU BE WORRIED ABOUT HAVING THE LATEST TECHNOLOGY YOU KNOW WHAT I MEAN,Negative,-0.6
LIKE TH THIS THING ISNT REALLY A BIG DEAL BUT UM I I DDINT LIKE THE FACT THAT JOHN HAD AN IPHONE,Negative,-1.2
BUT MY OPININ LIKE HE SHOULDNT HAVE AN IPHONE HE SHOULDNT CARE ABOUT THE LATEST TRENDS SO THATS REALLY WHAT THE LIEUTENANT XXX,Negative,-1.6
SO SINCE WERE NOT REALLY SURE WHAT THEIR FINANCIAL SITUATION IS THEY COULD BE LIKE SCRAPING BY OR THEY COULD BE TOTALLY RICH,Neutral,0.0
UM LIKE I SAID IT WASNT BIG DEAL,Negative,-0.4
I THOUGHT IT WAS ALL TOO COMMERCIAL IN THAT ASPECT,Negative,-0.2
UM ANOTHER THING THAT DID BOTHER ME WERE THE KISSINGS,Negative,-1.2
AND YOU PROBABLY DONT THINK SO BUT YOU KNOW JUST ONE OF THOSE LITTLE THINGS THAT THAT HURT YOU FOR SOME REASON YOU KNOW WHAT I MEAN,Negative,-1.6
UM SO THERE ARE THINGS THAT I LIKED ABOUT THE MOVIE BETTER THAN I LIKED ABOUT THE BOOK AND VICE VERSE,Positive,1.0
MAYBE BECAUSE NUMBER FOUR WAS NOT MY ALL TIME FAVORITE BOOK,Negative,-0.8
IT WASNT LIKE IT WASNT LIKE OH THE BOOK WAS SO MUCH HARDER THAN MOVIE,Negative,-0.8
BUT BUT UM I WASNT CRAZY ABOUT IT,Negative,-0.8
IT WAS A GOOD BOOK,Positive,1.6
SO I LIKED THE MOVIE,Positive,1.4
SO YEAH AND THE MOVIE WAS PRETTY GOOD IN MY OPINION,Positive,1.8
GOOD JOB OF EXPLAINING THING WITH LORAIN THE MOGADORIANS,Positive,0.5
BECAUSE IT DID A GOOD JOB OF EXPLAINING THE BACK STORY IN THE BOOK,Positive,1.8
UM HE WAS AWESOME,Positive,2.4
LIKE HE WAS INCREDIBLE,Positive,2.6
THE OTHER GUY THAT DID A REALLY GOOD JOB WAS UM JEFFREY DEAN MORGAN,Positive,1.8
HE DID A VERY GOOD JOB,Positive,2.0
ILL TELL YOU WHO MADE THE MOVIE,Positive,0.8
WHO WAS JUST KICK ASS 100 OF TIME WAS THE GUY THAT PLAYED OUR RORSCHACH,Positive,1.8
BUT ANYWAYS HE WAS AWESOME,Positive,2.6
I THOUGHT THAT WAS VERY COOL,Positive,2.4
VERY DARK,Negative,-1.25
UM I REALLY LIKED SICKO GUY,Negative,-1.5
UM GRAPHICS WERE INCREDIBLE,Positive,1.8
SOME REALLY SUCKY ACTING,Negative,-2.6
UM SOME REALLY GOOD ACTING,Positive,2.2
COZ PEOPLE WERE LIKE EATING POPCORN AND YOU SEE THE FIRST SHOW AND PEOPLE YOU HEAR LIKE THIS THIS RIPPLE EFFECT OF WHISPERING OH MY GOD IS THAT A IS THAT AM I LOOKING AT THIS RIGHT WHAT,Positive,1.0
SO THIS WAS PRETTY FUNNY,Positive,1.4
UM THERE COULDVE BEEN LESS BLUE NUDITY,Negative,-1.6
I THOUGHT THAT WAS REALLY FUNNY,Positive,1.6
IT WAS FUNNY THOUGH,Positive,1.8
BECAUSE WHAT WAS WEIRD WAS THE FACT THAT IN PART OF THE MOVIE HES WEARING LIKE A BLUE UM OVERALL FLONG THING MEDAL FLONG THING SO I WAS LIKE WHY NOT WEAR THE WHOLE WHOLE TIME YOU KNOW WHY WHY YOU GOT TO GO COMMAND ON US,Negative,-1.2
BUT UM YOU KNOW OVERALL IT WAS GOOD,Positive,1.8
UM SO AT THE END THERES NOT REALLY A WHOLE LOT OF REDEEMING VALUE THAT I THINK YOU COME UP WITH,Negative,-1.8
ITS KIND OF WEIRD,Negative,-1.0
HES FUNNY,Positive,2.0
ALL RIGHT SO ENOUGH OF THE NUDITY,Negative,-1.6
I DONT KNOW CLASSIC SUPERHERO KIND OF GETTING ON KIND OF THING,Positive,0.6
UM JUNIOR LADY GIRL I KNOW I I MEAN SHE LOOKED FAN FANTASTIC,Negative,-0.4
UM BUT WHAT SUCKED WHAT WAS BAD WAS MALIN AKERMAN THE GIRL WHO PLAYS THE SILK SPECTRE II,Negative,-2.2
SHE LOOKED LIKE A SUPERHERO,Positive,0.8
SHE LOOKED PHENOMENAL,Positive,2.2
AND THERES A VAST DIFFERENCE BETWEEN THOSE TWO THINGS,Negative,-0.2
BUT SHE ACTED LIKE POWER RANGER,Negative,-0.4
I WAS VERY IMPRESSED,Positive,2.2
BUT UM HE DID A REALLY GOOD JOB AT ACTING,Positive,2.2
AND IT SEEMED LIKE EVERYTHING WAS SORT OF OVERWHELMINGLY BAD,Negative,-1.6
AND UM THERES NOT IN MY OPINION THERE WASNT VERY MUCH OF A BALANCE BETWEEN SORT OF LIKE THE GOOD EVIL KIND OF THING,Negative,-1.6
I WARN YOU ITS A VERY VERY DARK,Negative,-1.0
UM BUT ITS EXTREMELY DARK,Negative,-0.6
AND ITS VERY VERY INTERESTING,Positive,1.4
SO OVERALL ITS ITS LIKE A BLEND OF YOUVE GOT ALTERNATIVE HISTORY,Positive,0.6
OVERALL OVERALL IT HAD FAR TOO MANY PLOT HOLES,Negative,-1.8
AND JUST NOT ENOUGH DEPTH TO BE INTERESTING,Negative,-2.2
I HAVE TO SAY MY FAVORITE CHARACTER IN THE ENTIRE MOVIE IS THE CHARACTER THOMPSON,Positive,2.0
BUT HES JUST THE CREEPIEST OLD GUY YOULL EVER SEE IN YOUR LIFE HE STANDS OVER PEOPLE WHEN THEYRE ASLEEP JUST STARING AT THEM,Negative,-1.0
WHICH IS WHERE ALL GREAT RELATIONSHIPS SHOULD START,Positive,0.4
I LITERALLY SAID OUT LOUD WHAT QUE WHAT IS THIS MOVIE THAT I AM SEEING WHAT IS THIS,Negative,-2.4
AND JUST ITS VERY ITS VERY CHAOTIC AT THE END OF THIS MOVIE,Negative,-1.0
BUT THERES A REASON FOR THAT THERES A REASON FOR WHY I WAS CONFUSED,Negative,-0.2
